customerID,revenue,nps,retargeting,gender
5451,2916,10,1,0
5174,1599,2,1,0
4650,2864,7,1,0
4114,1910,5,1,0
5556,2598,10,1,0
5979,483,5,1,0
5395,1134,10,1,0
5365,2942,9,1,0
5597,1490,6,1,0
5238,1694,2,1,0
5717,2486,4,1,0
6152,2162,3,1,0
5518,3305,10,1,0
4767,1265,10,1,0
4624,1679,3,1,0
5631,2012,10,1,0
4596,2037,7,1,0
5941,534,5,1,0
4991,1037,6,1,0
5053,2393,9,1,0
5968,1932,4,1,0
5803,2537,10,1,0
4327,2338,10,1,0
5567,1537,10,1,0
4023,1597,10,1,0
5129,2861,10,1,0
4193,1790,2,1,0
5806,2981,4,1,0
4506,2756,10,1,0
5037,2177,8,1,0
4870,1612,10,1,0
4083,3183,7,1,0
5224,3754,5,1,0
5797,2482,5,1,0
4856,2037,3,1,0
4293,3731,7,1,0
4275,2946,10,1,0
4752,1208,10,1,0
4436,1974,9,1,0
5983,1190,9,1,0
5893,2544,10,1,0
4798,2219,3,1,0
5234,2336,8,1,0
6064,2764,7,1,0
6054,1804,8,1,0
5626,2170,10,1,0
4766,2215,6,1,0
5598,2347,10,1,0
5585,3248,2,1,0
5304,2162,10,1,0
4884,2271,10,1,0
4631,1290,3,1,0
4324,1648,9,1,0
5327,3634,3,1,0
5739,1412,5,1,0
4051,2617,4,1,0
5367,3018,6,1,0
6085,2254,7,1,0
5022,2384,7,1,0
5427,1449,10,1,0
4943,2344,9,1,0
6022,2474,7,1,0
4081,3371,5,1,0
6100,2534,8,1,0
4333,2427,8,1,0
5016,1255,10,1,0
5197,2084,3,1,0
4355,1635,3,1,0
4078,1709,3,1,0
5961,1615,2,1,0
5162,2539,7,1,0
5032,2561,4,1,0
5401,2137,7,1,0
4909,3176,8,1,0
5999,3125,10,1,0
4791,2045,3,1,0
4966,739,6,1,0
4192,2331,5,1,0
5927,2864,6,1,0
4167,1472,10,1,0
4144,1775,4,1,0
5696,2259,5,1,0
4622,3117,10,1,0
5055,3013,3,1,0
4657,3449,7,1,0
4313,2340,2,1,0
4510,2684,7,1,0
4973,1871,8,1,0
5487,1395,10,1,0
5749,1089,2,1,0
5947,2596,9,1,0
4107,1166,10,1,0
4879,715,5,1,0
5958,2725,2,1,0
4056,3502,2,1,0
5936,1771,4,1,0
4609,3714,3,1,0
4438,1541,4,1,0
4415,2477,10,1,0
5922,1103,9,1,0
6186,2369,2,1,0
5235,2630,10,1,0
4589,1912,5,1,0
4197,827,9,1,0
5954,3002,10,1,0
4326,2695,10,1,0
4515,1062,8,1,0
5924,3100,6,1,0
4693,2687,10,1,0
5409,1759,6,1,0
